vehicle_type,fuel,vehicle_class,euro_standard,CO2,CH4,N2O,CO2eq,CO2-upstream,CH4-upstream,N2O-upstream,CO2eq-upstream,CO2-combustion,CH4-combustion,N2O-combustion,CO2eq-combustion
L-kategorija vozila,Benzin,Motocikli 4-taktni >750 cm³,EURO 4,0.158999,0.000039,0.000002,0.160699,0.000452,0.00000774,0.00000000483,0.000686,0.121847,0.000032,0.000002,0.123313
Autobus,Dizel,Gradski autobus,EURO 1 i 2 i 3,0.095320,0.000102,0.000441,0.095863,0.000139,0.000002,0.000000,0.000211,0.038681,0.000001,0.000002,0.039152
Autobus,Dizel,Gradski autobus,EURO 1 i 2 i 3,0.139952,0.000442,0.000186,0.140580,0.000299,0.000005,0.000000,0.000453,0.083153,0.000010,0.000001,0.083627
Autobus,Dizel,Gradski autobus,EURO 4 i 5,0.172208,0.000232,0.000671,0.173112,0.000414,0.000007,0.000000,0.000628,0.115294,0.000001,0.000003,0.115983
Autobus,Dizel,Gradski autobus,EURO 6,0.134915,0.000157,0.000882,0.135955,0.000281,0.000005,0.000000,0.000426,0.078134,0.000000,0.000003,0.079029
Autobus,Dizel,Međugradski autobus,EURO 1 i 2 i 3,0.099808,0.000227,0.000361,0.100395,0.000155,0.000003,0.000000,0.000235,0.043153,0.000005,0.000001,0.043660
Autobus,Dizel,Međugradski autobus,EURO 1 i 2 i 3,0.399393,0.001420,0.000719,0.401532,0.001228,0.000021,0.000000,0.001862,0.341665,0.000026,0.000003,0.343170
Autobus,Dizel,Međugradski autobus,EURO 4 i 5,0.516372,0.000896,0.003307,0.520574,0.001647,0.000028,0.000000,0.002497,0.458225,0.000002,0.000012,0.461577
Autobus,Dizel,Međugradski autobus,EURO 6,0.347381,0.000566,0.003311,0.351257,0.001042,0.000018,0.000000,0.001579,0.289839,0.000001,0.000012,0.293178
Autobus,SPP (CNG),Gradski autobus,All,0.117295,0.002154,0.000001,0.119450,0.000283,0.000005,0.000000,0.000429,0.060512,0.000067,0.000000,0.062521
